eBird_count,eBird_code,State,County,PerCapitaIncome,Population,Region,Subregion,logcheck,logGDP,logpop,RDistance,RDistance_Deviation
2809,US-IL-001,Illinois,Adams,24217,67152,Midwest,East North Central,7.940583827104244,10.094810144860501,11.114713985573372,0.12410565153168243,0.6970802692496023
2145,US-IL-003,Illinois,Alexander,13619,7980,Midwest,East North Central,7.6708948313621175,9.519221155568957,8.984693690443855,-0.9261137576234006,-1.7272042213720433
1196,US-IL-005,Illinois,Bond,23195,17665,Midwest,East North Central,7.086737934510577,10.051692017185845,9.779340559793246,0.06965830158034951,0.5713961837225046
2751,US-IL-007,Illinois,Boone,25888,54068,Midwest,East North Central,7.919719760924575,10.161534819858218,10.897997792603718,0.1283346350060019,0.7068422856040097
643,US-IL-009,Illinois,Brown,20555,6904,Midwest,East North Central,6.466144724237619,9.930859499331978,8.839856232763264,-0.03912780879951467,0.32027867638074575
2860,US-IL-011,Illinois,Bureau,26705,34594,Midwest,East North Central,7.958576903813898,10.19260609277387,10.451435535603869,0.0024488171873122,0.4162524973495766
1340,US-IL-013,Illinois,Calhoun,26924,5062,Midwest,East North Central,7.200424892944957,10.200773361130604,8.529516941105069,-0.25269956756790163,-0.17272183180214193
3473,US-IL-015,Illinois,Carroll,27118,15199,Midwest,East North Central,8.152774052744075,10.207952993022255,9.628984915196462,-0.3338203890220548,-0.3599778923961915
849,US-IL-017,Illinois,Cass,22257,13530,Midwest,East North Central,6.744059186311348,10.010411844857636,9.512664721164834,0.11007548177231398,0.6646935863794107
20233,US-IL-019,Illinois,Champaign,25713,202428,Midwest,East North Central,9.915070213779195,10.154751979566992,12.218139546748311,-0.35951563058334635,-0.4192917605810607
991,US-IL-021,Illinois,Christian,23915,34651,Midwest,East North Central,6.898714534329988,10.082261156114397,10.453081864230466,0.38618933013031326,1.3020637533987762
685,US-IL-023,Illinois,Clark,24296,16284,Midwest,East North Central,6.529418838262226,10.098067006725584,9.69793830962287,0.3440622888616821,1.2048193758020187
124,US-IL-025,Illinois,Clay,22279,13744,Midwest,East North Central,4.820281565605037,10.011399809730523,9.528357644224037,1.0121103167447314,2.7469147311813256
9288,US-IL-027,Illinois,Clinton,27802,37891,Midwest,East North Central,9.136478523377727,10.232863239537037,10.542468895852291,-0.4675063377858025,-0.6685731910326268
9625,US-IL-029,Illinois,Coles,21970,53732,Midwest,East North Central,9.172119159155985,9.997433165378656,10.891764006182903,-0.5825097755436427,-0.9340425282912129
266739,US-IL-031,Illinois,Cook,30183,5212372,Midwest,East North Central,12.494025931200325,10.31503413096016,15.466545588432766,-0.33596850032078557,-0.36493650662503324
167,US-IL-033,Illinois,Crawford,25214,19707,Midwest,East North Central,5.117993812416755,10.135154674791215,9.888729181560583,1.0855907115480556,2.916533936400327
504,US-IL-035,Illinois,Cumberland,22952,11015,Midwest,East North Central,6.222576268071369,10.0411603576612,9.307013259236443,0.3179774911766745,1.1446062718377314
5383,US-IL-037,Illinois,DeKalb,23696,104820,Midwest,East North Central,8.591001118560957,10.07306153650758,11.559999872356157,-0.051577383596128845,0.29154057572181086
2853,US-IL-039,Illinois,De Witt,26704,16511,Midwest,East North Central,7.9561263512135,10.192568645901616,9.711782104431833,-0.22941000516888674,-0.11896113720336264
1293,US-IL-041,Illinois,Douglas,23732,19902,Midwest,East North Central,7.164720378771857,10.074579627378533,9.898575508175107,0.09062683781395539,0.619799114328277
96845,US-IL-043,Illinois,DuPage,38570,922803,Midwest,East North Central,11.480867041276339,10.560230051202273,13.735171056251744,-0.20190583457084965,-0.05547160956087072
440,US-IL-045,Illinois,Edgar,23368,18339,Midwest,East North Central,6.0867747269123065,10.059122844067577,9.816785218696834,0.5500113385879184,1.6802239272292847
482,US-IL-047,Illinois,Edwards,20898,6695,Midwest,East North Central,6.1779441140506,9.947408739594056,8.809116258125274,0.10270463990196864,0.6476790297321681
822,US-IL-049,Illinois,Effingham,27051,34274,Midwest,East North Central,6.71174039505618,10.205479252168017,10.442142328220795,0.5776932947258485,1.7441238479032348
1152,US-IL-051,Illinois,Fayette,21523,22088,Midwest,East North Central,7.049254841255837,9.97687740976418,10.00278975360999,0.08891120610951979,0.6158388187020247
789,US-IL-053,Illinois,Ford,25448,13991,Midwest,East North Central,6.670766320845874,10.14439243342898,9.546169544733285,0.2730852482034484,1.0409788131938589
1663,US-IL-055,Illinois,Franklin,20394,39470,Midwest,East North Central,7.416378479192928,9.92299601892417,10.583296168656894,0.04808906259403773,0.5216066149017422
5217,US-IL-057,Illinois,Fulton,22318,36829,Midwest,East North Central,8.559677803022392,10.013148806745647,10.514040857292054,-0.4108443180464177,-0.5377768503213081
258,US-IL-059,Illinois,Gallatin,23862,5516,Midwest,East North Central,5.552959584921617,10.080042514435746,8.615408238913192,0.45704158753626695,1.4656162713368843
308,US-IL-061,Illinois,Greene,22307,13778,Midwest,East North Central,5.730099782973574,10.012655809536781,9.530828396153142,0.5900466891340546,1.7726399295993824
4754,US-IL-063,Illinois,Grundy,28725,50064,Midwest,East North Central,8.46674164792014,10.265523102716957,10.821057465908664,-0.04806206550097926,0.2996551954511577
241,US-IL-065,Illinois,Hamilton,21960,8413,Midwest,East North Central,5.484796933490655,9.996977895623466,9.037533407550814,0.5446508685300256,1.6678500324883314
854,US-IL-067,Illinois,Hancock,23714,18949,Midwest,East North Central,6.74993119378857,10.073820870018016,9.849506438669614,0.2664196038230348,1.0255921062347515
328,US-IL-069,Illinois,Hardin,22366,4273,Midwest,East North Central,5.793013608384144,10.015297227588134,8.360071435644025,0.2054445929282918,0.8848398291971987
685,US-IL-071,Illinois,Henderson,25902,7186,Midwest,East North Central,6.529418838262226,10.162075464783532,8.879889967673464,0.147022115797467,0.749979719036121
3145,US-IL-073,Illinois,Henry,27117,50260,Midwest,East North Central,8.05356916913454,10.20791611646652,10.824964811097583,0.08754652397436605,0.6126886410286342
1574,US-IL-075,Illinois,Iroquois,25098,29446,Midwest,East North Central,7.3613754289773485,10.130543440670253,10.290313356425354,0.16979603033031687,0.8025501127190454
11665,US-IL-077,Illinois,Jackson,20527,60055,Midwest,East North Central,9.36434818445553,9.929496371717178,11.003016087988591,-0.6943891867715267,-1.1923004876235843
1462,US-IL-079,Illinois,Jasper,24174,9680,Midwest,East North Central,7.2875606403097235,10.093032954419403,9.177817180270623,-0.17681975312515677,0.0024360977706781107
1812,US-IL-081,Illinois,Jefferson,22620,38769,Midwest,East North Central,7.502186486602924,10.026589749670112,10.5653762371933,0.09623157707652415,0.6327368703340956
1449,US-IL-083,Illinois,Jersey,25467,22850,Midwest,East North Central,7.278628942320682,10.145138775406078,10.036706396322352,0.14324758049795844,0.7412667326771427
1687,US-IL-085,Illinois,Jo Daviess,29675,22602,Midwest,East North Central,7.430707082545968,10.298060219477868,10.025793676920095,0.20581014793779911,0.8856836617642722
3188,US-IL-087,Illinois,Johnson,18763,12665,Midwest,East North Central,8.067149039910106,9.839642124487375,9.446597562435775,-0.679164965736968,-1.157157504534394
45021,US-IL-089,Illinois,Kane,30082,518380,Midwest,East North Central,10.7148843265641,10.31168226521516,13.158463843029052,-0.27776656595756005,-0.23058548857018496
15376,US-IL-091,Illinois,Kankakee,23779,112991,Midwest,East North Central,9.640563131210074,10.076558117215898,11.635063448504866,-0.48819796215217026,-0.7163369093565061
10066,US-IL-093,Illinois,Kendall,31276,116366,Midwest,East North Central,9.216918687336305,10.350606309244405,11.664495675391134,-0.046653755199662424,0.3029060826388281
1858,US-IL-095,Illinois,Knox,22093,52545,Midwest,East North Central,7.527255919373784,10.003016095251029,10.869425224299697,0.1544423281737501,0.7671082405851697
85150,US-IL-097,Illinois,Lake,38018,702099,Midwest,East North Central,11.352169686090834,10.545815010766098,13.461829698705793,-0.24316162274563147,-0.1507048213532138
7455,US-IL-099,Illinois,La Salle,25709,113295,Midwest,East North Central,8.916640227198839,10.15459640413204,11.637750315415659,-0.09862407501820147,0.1829398744251631
266,US-IL-101,Illinois,Lawrence,14147,16702,Midwest,East North Central,5.583496308781699,9.557257866458935,9.723283751713176,0.3108788701743701,1.1282200989574067
3214,US-IL-103,Illinois,Lee,25409,35535,Midwest,East North Central,8.075271546297458,10.142858720954989,10.478273405260996,-0.08657921911815368,0.21074373816612219
1409,US-IL-105,Illinois,Livingston,24952,38687,Midwest,East North Central,7.25063551189868,10.12470925828764,10.563258905272352,0.29702031714050703,1.0962295692742035
958,US-IL-107,Illinois,Logan,21445,30177,Midwest,East North Central,6.86484777797086,9.973246796950981,10.314835323802448,0.26368181551525804,1.0192723051767154
2074,US-IL-115,Illinois,Macon,26232,110262,Midwest,East North Central,7.637234388789473,10.174735318524483,11.610614630923479,0.47489558547395394,1.5068297262765025
575,US-IL-117,Illinois,Macoupin,24658,47462,Midwest,East North Central,6.354370040797351,10.112856670428497,10.767684669851963,0.7507499075599228,2.1436008132267816
14463,US-IL-119,Illinois,Madison,27407,268373,Midwest,East North Central,9.579348943073732,10.218553734200675,12.500133082894347,-0.07263795523226783,0.24292519427290596
