State,County,Region,RDistance
Alabama ,Autauga ,South,0.627754150736149
Alabama ,Baldwin ,South,-1.0495857320496
Alabama ,Barbour ,South,-0.498153172927353
Alabama ,Bibb ,South,0.559707018684059
Alabama ,Blount ,South,0.872446410330422
Alabama ,Bullock ,South,-1.09237637292556
Alabama ,Butler ,South,0.960037962520997
Alabama ,Calhoun ,South,0.607219045185104
Alabama ,Chambers ,South,0.423936149349588
Alabama ,Cherokee ,South,1.02763554707259
Alabama ,Chilton ,South,0.955257027319187
Alabama ,Choctaw ,South,0.504679977111961
Alabama ,Clarke ,South,0.158451105416535
Alabama ,Clay ,South,-0.291636869511359
Alabama ,Cleburne ,South,0.346730419633528
Alabama ,Coffee ,South,1.19835459104716
Alabama ,Colbert ,South,-0.349474726603408
Alabama ,Conecuh ,South,0.589512395728791
Alabama ,Coosa ,South,0.21367098271454
Alabama ,Covington ,South,0.25569494537058
Alabama ,Crenshaw ,South,0.70325575514183
Alabama ,Cullman ,South,1.02398544546348
Alabama ,Dale ,South,0.614803324643001
Alabama ,Dallas ,South,1.52339038135502
Alabama ,DeKalb ,South,0.725930182252497
Alabama ,Elmore ,South,0.036750468273896
Alabama ,Escambia ,South,0.982722069370032
Alabama ,Etowah ,South,1.71030360142114
Alabama ,Fayette ,South,1.23329358457591
Alabama ,Franklin ,South,1.24310266359534
Alabama ,Geneva ,South,0.244167884126595
Alabama ,Greene ,South,0.01802894608327
Alabama ,Hale ,South,-0.661265466517692
Alabama ,Henry ,South,0.279666604070918
Alabama ,Houston ,South,0.417875480303085
Alabama ,Jackson ,South,0.357661648919578
Alabama ,Jefferson ,South,0.330628346231218
Alabama ,Lamar ,South,1.1111568030919
Alabama ,Lauderdale ,South,-0.056177184499748
Alabama ,Lawrence ,South,0.048335864289203
Alabama ,Lee ,South,-0.206160030009721
Alabama ,Limestone ,South,-0.111542338530893
Alabama ,Lowndes ,South,-0.031512499557826
Alabama ,Macon ,South,-0.599403998278926
Alabama ,Madison ,South,-0.412952589331244
Alabama ,Marengo ,South,-0.557687287512205
Alabama ,Marion ,South,1.40098269500533
Alabama ,Marshall ,South,0.212682607589633
Alabama ,Mobile ,South,-0.536769015630394
Alabama ,Monroe ,South,0.597950124344167
Alabama ,Montgomery ,South,0.056877030563932
Alabama ,Morgan ,South,0.005766714739074
Alabama ,Perry ,South,-0.535001610179395
Alabama ,Pickens ,South,1.07877299351976
Alabama ,Pike ,South,0.984454779968045
Alabama ,Randolph ,South,0.799919337987085
Alabama ,Russell ,South,1.08049667361619
Alabama ,Shelby ,South,0.084948327707309
Alabama ,St. Clair ,South,0.885659488819475
Alabama ,Sumter ,South,-0.071009864530267
Alabama ,Talladega ,South,1.05149003318713
Alabama ,Tallapoosa ,South,0.739479909033634
Alabama ,Tuscaloosa ,South,0.449701483825176
Alabama ,Walker ,South,1.51789530234287
Alabama ,Washington  ,South,0.706962807112561
Alabama ,Wilcox ,South,0.671438835687764
Alabama ,Winston ,South,-0.652026954713937
Arizona ,Apache ,West,0.153120254388709
Arizona ,Cochise ,West,-1.7392964568011
Arizona ,Coconino ,West,-1.11103407439743
